time_s,motor,sg,threshold,window_avg,window_n,vel_mms,pos_x,pos_y,pos_z,state
55.99,stepper_x,,20,,0,0.0,0.0,0.0,0.0,V
55.99,stepper_y,,20,,0,0.0,0.0,0.0,0.0,V
55.99,stepper_y1,,20,,0,0.0,0.0,0.0,0.0,V
56.01,stepper_x,,20,,0,0.0,0.0,0.0,0.0,V
56.01,stepper_y,,20,,0,0.0,0.0,0.0,0.0,V
56.01,stepper_y1,,20,,0,0.0,0.0,0.0,0.0,V
56.031,stepper_x,,20,,0,0.0,0.0,0.0,0.0,V
56.031,stepper_y,,20,,0,0.0,0.0,0.0,0.0,V
56.031,stepper_y1,,20,,0,0.0,0.0,0.0,0.0,V
56.051,stepper_x,,20,,0,0.0,0.0,0.0,0.0,V
56.051,stepper_y,,20,,0,0.0,0.0,0.0,0.0,V
56.051,stepper_y1,,20,,0,0.0,0.0,0.0,0.0,V
56.074,stepper_x,,20,,0,0.0,0.0,0.0,0.0,V
56.074,stepper_y,,20,,0,0.0,0.0,0.0,0.0,V
56.074,stepper_y1,,20,,0,0.0,0.0,0.0,0.0,V
56.094,stepper_x,,20,,0,0.0,0.0,0.0,0.0,V
56.094,stepper_y,,20,,0,0.0,0.0,0.0,0.0,V
56.094,stepper_y1,,20,,0,0.0,0.0,0.0,0.0,V
56.114,stepper_x,,20,,0,0.0,0.0,0.0,0.0,V
56.114,stepper_y,,20,,0,0.0,0.0,0.0,0.0,V
56.114,stepper_y1,,20,,0,0.0,0.0,0.0,0.0,V
56.135,stepper_x,,20,,0,0.0,0.0,0.0,0.0,V
56.135,stepper_y,,20,,0,0.0,0.0,0.0,0.0,V
56.135,stepper_y1,,20,,0,0.0,0.0,0.0,0.0,V
56.155,stepper_x,,20,,0,0.0,0.0,0.0,0.0,V
56.155,stepper_y,,20,,0,0.0,0.0,0.0,0.0,V
56.155,stepper_y1,,20,,0,0.0,0.0,0.0,0.0,V
56.175,stepper_x,,20,,0,0.0,0.0,0.0,0.0,V
56.175,stepper_y,,20,,0,0.0,0.0,0.0,0.0,V
56.175,stepper_y1,,20,,0,0.0,0.0,0.0,0.0,V
56.195,stepper_x,,20,,0,0.0,0.0,0.0,0.0,V
56.195,stepper_y,,20,,0,0.0,0.0,0.0,0.0,V
56.195,stepper_y1,,20,,0,0.0,0.0,0.0,0.0,V
56.215,stepper_x,,20,,0,0.0,0.0,0.0,0.0,V
56.215,stepper_y,,20,,0,0.0,0.0,0.0,0.0,V
56.215,stepper_y1,,20,,0,0.0,0.0,0.0,0.0,V
56.236,stepper_x,,20,,0,0.0,0.0,0.0,0.0,V
56.236,stepper_y,,20,,0,0.0,0.0,0.0,0.0,V
56.236,stepper_y1,,20,,0,0.0,0.0,0.0,0.0,V
56.256,stepper_x,,20,,0,0.0,0.0,0.0,0.0,V
56.256,stepper_y,,20,,0,0.0,0.0,0.0,0.0,V
56.256,stepper_y1,,20,,0,0.0,0.0,0.0,0.0,V
56.276,stepper_x,,20,,0,0.0,0.0,0.0,0.0,V
56.276,stepper_y,,20,,0,0.0,0.0,0.0,0.0,V
56.276,stepper_y1,,20,,0,0.0,0.0,0.0,0.0,V
56.296,stepper_x,,20,,0,0.0,0.0,0.0,0.0,V
56.296,stepper_y,,20,,0,0.0,0.0,0.0,0.0,V
56.296,stepper_y1,,20,,0,0.0,0.0,0.0,0.0,V
56.316,stepper_x,,20,,0,0.0,0.0,0.0,0.0,V
56.316,stepper_y,,20,,0,0.0,0.0,0.0,0.0,V
56.316,stepper_y1,,20,,0,0.0,0.0,0.0,0.0,V
56.337,stepper_x,,20,,0,0.0,0.0,0.0,0.0,V
56.337,stepper_y,,20,,0,0.0,0.0,0.0,0.0,V
56.337,stepper_y1,,20,,0,0.0,0.0,0.0,0.0,V
56.357,stepper_x,,20,,0,0.0,0.0,0.0,0.0,V
56.357,stepper_y,,20,,0,0.0,0.0,0.0,0.0,V
56.357,stepper_y1,,20,,0,0.0,0.0,0.0,0.0,V
56.377,stepper_x,,20,,0,0.0,0.0,0.0,0.0,V
56.377,stepper_y,,20,,0,0.0,0.0,0.0,0.0,V
56.377,stepper_y1,,20,,0,0.0,0.0,0.0,0.0,V
56.397,stepper_x,,20,,0,0.0,0.0,0.0,0.0,V
